caption,url,helsinki_translation,madlad_translation,phi_translation,dataset_similarity,similarity_helsinki,similarity_madlad,similarity_phi
"crossbreed: Close-up of a Crossbreed Foal between a Appaloosa and a Friesian horse, 3 months old, standing in front of white background Stock Photo",https://us.123rf.com/450wm/isselee/isselee1010/isselee101000246/7980694-close-up-of-a-crossbreed-foal-between-a-appaloosa-and-a-friesian-horse-3-months-old-standing-in-fron.jpg?ver=6,"croce: Primo piano di un puledro tra un'appaloosa e un cavallo frisone, di 3 mesi, in piedi di fronte a sfondo bianco Stock Photo","Primo piano di un puledro incrociato tra un Appaloosa e un cavallo frisone, 3 mesi di età, in piedi di fronte a sfondo bianco Archivio Fotografico","Traslato in italiano la didascalia: 'Crossbreed: Close-up di un Foal di incrocio tra un cavallo Appaloosa e un cavallo Friesian, 3 mesi, in piedi di fronte a sfondo bianco Stock Foto'",0.3525784909725189,0.5399556159973145,0.5286984443664551,0.6078985333442688
colorful Feather Fan,http://img.hisupplier.com/var/userImages/2011-03/17/feather_223308628_240.jpg,variopinto ventola piuma,Colorful Feather Fan,'Fanino a piume di colori',0.349369078874588,0.4449072480201721,0.24882668256759644,0.47297805547714233
Kent Leather Journal,https://cdn.shopify.com/s/files/1/1092/6072/products/769-SK_Photoshopstack_square_0009_769-SK-CAM_copy_6bd3b061-8443-49d2-bd2d-d5512bbcb3f9_250x.jpg?v=1582168203,Kent Leather Journal,Kent Leather Journal,'Journal Kent in pelle',0.306856632232666,0.20115315914154053,0.20115315914154053,0.3367520570755005
bridesmaid doggie tee,http://rlv.zcache.com.au/bridesmaid_doggie_tee-ra81e4f4b85634677b68520259f4c5629_v9w7f_8byvr_324.jpg,damigella d'onore cagnolino tee,Damigella d'onore doggie tee,Il cane indossa una camicia blu con il testo 'Bridesmaid' scritto su di essa.,0.37445083260536194,0.33008503913879395,0.10217485576868057,0.45747002959251404
ammk-to-give-importance-to-local-candidates-in-election,https://static.hindutamil.in/hindu/uploads/news/2021/03/06/medium/642044.jpg,ammk-to-give-importance-to-local-candidates-in-election,Ammk-per-dare-importanza-ai-candidati-locali-nelle-elezioni,"Tradurre in italiano la sottolineatura, dato l'immagine. Fornisci solo la traduzione della sottolineatura: 'ammk-to-give-importance-to-local-candidates-in-election'",0.30527183413505554,0.26653769612312317,0.30378034710884094,0.18736405670642853
"Smoky Mountain Cabin Rentals - Smoky Mountain Cabins in Gatlinburg, Pigeon Forge, and Sevierville, TN",https://i.pinimg.com/236x/f3/83/7c/f3837c3a3c269e16567b4a030482d4fa--mountain-cabin-rentals-mountain-cabins.jpg,"Smoky Mountain Cabin Affitto - Smoky Mountain Cabins a Gatlinburg, Pigeon Forge, e Sevierville, TN","Smoky Mountain Cabin Rentals - Smoky Mountain Cabins in Gatlinburg, Pigeon Forge, and Sevierville, TN - Affitti vacanze a Gatlinburg, Stati Uniti",Lodging - where to stay in the smokies,0.2889332175254822,0.2557342052459717,0.34055840969085693,0.40378180146217346
"These Great Horned Owls (Bubo virginianus), Square Sticker",https://rlv.zcache.co.uk/these_great_horned_owls_bubo_virginianus_square_sticker-r06016a02e82e48de85648beab9ec184c_v9wf3_8byvr_324.jpg,"Questi grandi Gufi cornuti (Bubo virginianus), Adesivo quadrato","Questi grandi gufi cornati (Bubo virginianus), adesivo quadrato","Questi areti cornuti (Bubo virginianus), Sticker Quadrato",0.39545196294784546,0.4789096415042877,0.5105240345001221,0.36846500635147095
Picture of IPC-K46P 4MP 2.8mm 2K IP WIFI Indoor Camera Dahua,https://www.vectorsecurity.gr/content/images/thumbs/0001068_ipc-k46p-4mp-2k-ip-wifi-indoor-camera.jpeg,Immagine di IPC-K46P 4MP 2.8mm 2K IP WIFI Indoor Camera Dahua,Immagine della macchina fotografica interna di IPC-K46P 4MP 2.8mm 2K IP WIFI Dahua,"Immagine del cilindro IPC-K46P 4MP 2,8mm 2K IP WIFI Indoor Camera Dahua",0.3317432105541229,0.6564992070198059,0.6632965207099915,0.6075273752212524
ted-cruz-vs-donald-trump-rivalry-22309,https://hdbookworm12.files.wordpress.com/2016/05/ted-cruz-vs-donald-trump-rivalry-22309.jpg?w=748,ted-cruz-vs-donald-trump-rivalry-22309,Ted Cruz contro Donald Trump,"Ted Cruz vs. Donald Trump rivalry


<|user",0.3327413499355316,0.5912304520606995,0.5718751549720764,0.6185736656188965
haven-power-logo.png,"https://static.wixstatic.com/media/56b1e8_9f3b4251ac34402a8449b0b905898acc~mv2.png/v1/fill/w_845,h_493,al_c/56b1e8_9f3b4251ac34402a8449b0b905898acc~mv2.png",Haven-power-logo.png,Il mio logo.png,Il logo della HavenPower.,0.380945086479187,0.6574134826660156,0.6427351832389832,0.6025125980377197
