caption,url,Italian,helsinki_translation,madlad_translation,phi_translation,dataset_similarity,similarity_gold,similarity_helsinki,similarity_madlad,similarity_phi
Half Blood (A Helheim Wolf Pack Tale #1),http://1.bp.blogspot.com/-aPFPaugPbrs/UN-84E2HxDI/AAAAAAAAAfA/E73iX5Z22C4/s320/Half%2BBlood%2BCOVER.jpg,Mezzo sangue (Un racconto del branco di lupi di Helheim #1),Half Blood (A Helheim Wolf Pack Tale #1),Mezzo sangue (Un racconto del branco di lupi di Helheim #1),'Half Blood (A Helheim Wolf Pack Tale #1)',0.3379628360271454,0.4191911816596985,0.4215090870857239,0.4191911816596985,0.4108230471611023
"India to order taxi aggregators like Uber, Ola to go electric",https://english.cdn.zeenews.com/sites/default/files/styles/zm_700x400/public/2019/06/06/793629-uberapp.jpg,L'India ordinerà ai taxi aggregatori come Uber e Ola di passare all'elettrico,"India per ordinare taxi aggregati come Uber, Ola per andare elettrico","L’India ordina aggregatori di taxi come Uber, Ola passa all’elettrico",India a ordinarà i taxi aggregatori come Uber e Ola a passare a elettrico,0.32361623644828796,0.6510260105133057,0.6363188028335571,0.5870531797409058,0.6952621340751648
Workers clean the face of the Big Ben clock in London.,http://cdnassets.hw.net/dims4/GG/3d0323d/2147483647/resize/876x%3E/quality/75/?url=http%3A%2F%2Fcdnassets.hw.net%2F66%2F00%2Fb7eb564f4985afc38b2ca76b3044%2F1850417987-0820-mr-hero-tcm20-2160811.jpg,Lavoratori che puliscono il quadrante del Big Ben a Londra,I lavoratori ripuliscono il volto dell'orologio Big Ben a Londra.,Lavoratori puliscono il quadrante dell'orologio Big Ben a Londra.,Operai puliscono la faccia della grande orologio di Big Ben a Londra.,0.3356322944164276,0.5280001163482666,0.6561558246612549,0.6594663262367249,0.6847065687179565
Royal Caribbean International Cruise Line Supplier Award,https://rlbelles.sealuxury.com/images/home-based/websites/awards/award_rci.png,Premio per il fornitore della linea di crociere Royal Caribbean International,Royal Caribbean International Cruise Line Supplier Award,Royal Caribbean International Cruise Line Supplier Award - 2017 - Premio per il fornitore,'RICS Award 2019',0.33701828122138977,0.6515903472900391,0.607623815536499,0.6084983348846436,0.6488050818443298
Road improvements coming along in west Gulfport,https://www.wlox.com/resizer/rygvP6K_xmEWS1xalXTGpUkIgcg=/1200x600/cloudfront-us-east-1.images.arcpublishing.com/raycom/GJYG466UXRHJBOVO3D65MUUDIY.png,I miglioramenti stradali avanzano a ovest di Gulfport,Miglioramenti stradali in arrivo nel Golfo Ovest,Miglioramenti stradali in arrivo a ovest di Gulfport,I progressi delle miglioramenti stradali in ovest di Gulfport,0.3135862946510315,0.391741544008255,0.3183470666408539,0.37989431619644165,0.354200154542923
A Cowgirl's Christmas (Carrigans of the Circle C Book 5),https://images-eu.ssl-images-amazon.com/images/I/51ms0sbZidL._UY250_.jpg,"Un Natale da cowgirl (serie Carrigans del Circle C, libro 5)",Il Natale di una Cowgirl (Carrigani del Circolo C Libro 5),Il Natale di una cowgirl (Carrigans del cerchio C Libro 5),'A Cowgirl's Christmas (Carrigans of the Circle C Book 5)',0.3582623302936554,0.3855714201927185,0.3931748867034912,0.2904655933380127,0.28998589515686035
Hand with tree and ground to environment care vector,https://cdn.vectorstock.com/i/thumb-large/21/16/hand-with-tree-and-ground-to-environment-care-vector-16072116.jpg,Mano con albero e terreno per cura dell'ambiente (vettore),Mano con albero e terreno al vettore di cura ambientale,Mano con albero e terra per il vettore di cura dell'ambiente,Mano con albero e terra per la cura dell'ambiente,0.31376051902770996,0.7544901967048645,0.7629525661468506,0.7589730620384216,0.7089662551879883
Stripe Sweaters Hip Hop Loose Pullover Sweater,https://cdn.shopify.com/s/files/1/0274/5004/8645/products/product-image-1152140169_150x150.jpg?v=1580899268,Maglione a righe Hip Hop Loose Pullover,Maglioni stripe Hip Hop Loose Pullover Maglione,Maglioni a righe Hip Hop Loose Pullover Maglione,Trama a quadri Sweater Hip Hop Loose Pullover Sweater,0.3078967034816742,0.4141944348812103,0.40765976905822754,0.36917755007743835,0.45753565430641174
Center for Curatorial Studies and Hessel Museum of Art,http://www.e-flux.com/wp-content/uploads/2010/11/wpid-1244497224logo_web.jpg?b8c429,Centro per studi curatoriali e Hessel Museum of Art,Centro di Studi Curatoriali e Museo d'Arte di Hessel,Centro per gli Studi Curatoriali e Museo d'Arte Hessel,Traslato in italiano la didascalia: 'Centro di Studi Curatoriali e Museo Hessel di Arti',0.3074120283126831,0.33406373858451843,0.32546091079711914,0.31735560297966003,0.4955514669418335
Meet the Condo That Comes With a Boat [PHOTOS],https://assets-prod.rew.ca/news-article-image/3055/6415_Boat-2.jpg?trim=&fit=crop&w=376&h=210,Incontra il condominio che viene fornito con una barca [FOTO],Incontra il condominio che viene con una barca [PHOTOS],Incontra il condominio che viene fornito con una barca [FOTO],"In Italian, the caption would be: 'Incontro con un condominio che viene con una barca [FOTO]'",0.3174637258052826,0.5958111882209778,0.5340269804000854,0.5958111882209778,0.3498675525188446
